author,sum_art
Frank Manola,18
Mark F. Hornick,7
Alejandro P. Buchmann,10
Farshad Nayeri,3
M. Tamer Özsu,21
Dimitrios Georgakopoulos,12
Sandra Heiler,6
Michael L. Brodie,8
Michael Stonebraker,24
Christoph Meinel,72
Christian Stangier,6
Christoph W. Keßler,13
Nguyen V. Thoai,19
Lothar Breuer,6
Anna Slobodová,25
Klaus Jansen,47
Alexander Kaplan,12
Rainer Tichatschke,15
Dieter Baum,15
Carsten Damm,24
Jochen Bern,8
Jordan Gergov,10
Fabio Somenzi,20
Thorsten Theobald,10
Klaus Lux,7
Markus Wiegelmann,6
Jürgen Huschens,5
Stasys Jukna,21
Jirí Sgall,22
Gianpiero Cabodi,12
Stefano Quer,8
Harald Sack,8
Rustam Mubarakzjanov,3
Thomas Erlebach,5
R. J. Gardner,7
Peter Gritzmann,35
Ekkehard W. Sachs,22
Kasyap Natarajan,3
Elena Dubrova,4
Thomas Burger,3
Artur Czumaj,16
Miroslaw Kutylowski,19
Krzysztof Lorys,7
Friedemann Leibfritz,8
Andreas Neumann 0001,3
Helmut Seidl,29
Martin Mundhenk,16
Luciano Lenzini,29
Martin Gugat,7
Manfred Laumen,5
Matthias Krause 0001,18
Stephan Waack,16
Belinda B. King,3
Christian Fecht,6
Hubertus Th. Jongen,14
Oliver Stein,4
Reiner Horst,25
M. Nast,3
Markus Roters,3
Richard Rödler,7
E. Levitin,4
Dieter Prangenberg,4
Bernd Sturmfels,21
Jan-J. Rückmann,8
M. Davidson,3
Judy Goldsmith,23
Christopher Lusena,3
Eric Allender,44
Markus Holzer 0001,10
Peter Rossmanith,12
Matthias Heinkenschloss,8
Jens Hofmann,3
Anna Bernasconi 0001,8
Igor E. Shparlinski,33
Florian Jarre,12
Victor Klee,26
Petra Scheffler,4
Rainer Hettich,5
El-Sayed M. E. Mostafa,3
Ulrich Hertrampf,12
Ulrich Raber,3
Ulrich Holtmann,3
Gerhard J. Woeginger,104
David G. Larman,5
Norbert Th. Müller,3
János Sztrik,8
Beniamino Di Martino,7
Clemens Lautemann,8
Thomas Schwentick,9
Heribert Vollmer,26
Klaus W. Wagner,21
Volker Schmidt,7
C. T. Kelley,7
Hans L. Bodlaender,49
Andreas Brieden,3
Thomas Ludwig 0001,4
Bernd Walter,4
Toni Bollinger,6
Udo Pletat,8
Stefan Böttcher,7
Christoph Beierle,17
Angi Voß,13
Simone Pribbenow,6
Egon Börger,22
Gregor Meyer,5
Herbert J. Leass,4
Ulrike Schwall,5
Kai-Uwe Carstensen,5
Bernd Page,3
Ulrike Weiland,3
Sven Lorenz,3
Ewald Lang,4
Peter Gerstl,4
Peter H. Schmitt,13
Wolfgang Wernecke,4
Jochen Dörre,9
Rob A. van der Sandt,3
Bart Geurts,6
Gregor Erbach,8
Kai von Luck,5
Bernhard Beckert,8
Eric Mays,5
Sitaram Lanka,3
Robert Dionne,4
Robert A. Weida,3
Claudia Maienborn,3
Reiner Hähnle,14
Roland Seiffert,3
Esther König,7
Christoph Lingenfelder,3
Stefan J. Schierholz,4
Michael Ley,6
Petra Ludewig,3
Karl Schlechta,23
Thomas Pirlein,3
Ulrich Hedtstück,3
Jörg H. Siekmann,12
Ido Dagan,17
Bernd I. Dahn,3
Theodor Lettmann,3
Tibor Kiss,4
Elisabeth Breidt,3
Otthein Herzog,5
David Beech,4
Krishna G. Kulkarni,4
Jim Melton,10
Andrew W. Moore 0001,10
Michael I. Jordan,23
David Heckerman,20
David Maxwell Chickering,7
Robert E. Schapire,24
Yoram Singer,14
David B. Lomet,49
Dennis E. Shasha,33
Jennifer Widom,39
Val Tannen,10
Peter Buneman,13
Atsushi Ohori,8
Panos K. Chrysanthis,8
Krithi Ramamritham,43
Andreas Reuter 0001,9
Helmut Wächter,4
Sunita Sarawagi,9
Suzanne W. Dietrich,13
Susan Darling Urban,18
John V. Harrison,4
Anton P. Karadimce,4
Peter Scheuermann,16
Gerhard Weikum,32
Peter Zabback,9
Ahmed K. Elmagarmid,33
Betty Salzberg,18
Anand Rajaraman,7
Rakesh Agrawal 0001,19
Nick Cercone,20
Stefano Ceri,31
Piero Fraternali,14
Stefano Paraboschi,14
Letizia Tanca,12
Daniel Barbará,18
Clement T. Yu,25
Zbigniew Michalewicz,18
Meichun Hsu,9
Divyakant Agrawal,39
Amr El Abbadi,40
Per-Åke Larson,10
Mary F. Fernandez,7
Daniela Florescu,16
Alon Y. Levy,22
Dan Suciu,19
Jari Veijalainen,4
Frank Eliassen,3
Goetz Graefe,20
Michael J. Carey 0001,24
Laura M. Haas,14
Berthold Reinwald,7
Sharma Chakravarthy,18
Eric N. Hanson,8
Stanley Y. W. Su,23
Alberto Coen-Porisini,8
Luigi Lavazza,9
Roberto Zicari,6
Peter Muth,6
Thomas C. Rakow,9
Wolfgang Klas,10
Erich J. Neuhold,16
Shashi Shekhar,19
Duen-Ren Liu,5
Richard L. Cole,3
James C. French,15
Anita K. Jones,5
John L. Pfaltz,4
Sunil Sharma,3
Joseph M. Hellerstein,14
Jan Chomicki,10
Gerti Kappel,8
Stefan Rausch-Schott,3
Werner Retschitzegger,6
Udo W. Lipeck,6
Michael Gertz,3
Gunter Saake,23
Sudarshan S. Chawathe,3
Donald Kossmann,16
Edward L. Wimmers,8
Craig W. Thompson,3
J. Eliot B. Moss,7
Ee-Peng Lim,18
Wee Keong Ng,6
Viswanath Poosala,3
Venkatesh Ganti,4
Yannis E. Ioannidis,29
Douglas B. Terry,6
Karin Petersen,5
Mike Spreitzer,4
Marvin Theimer,3
Wei Hong,3
Guy M. Lohman,6
K. Bernhard Schiefer,4
Yun Wang,4
Gustavo Alonso,11
C. Mohan 0001,10
Avishai Wool,14
Rajeev Rastogi,15
Sharad Mehrotra,9
Henry F. Korth,12
Abraham Silberschatz,40
David J. DeWitt,14
Edward Omiecinski,10
Elke A. Rundensteiner,26
Marti A. Hearst,22
Weidong Kou,4
William G. O'Farrell,3
Kostas Kontogiannis,6
John Mylopoulos,33
Won Kim 0001,41
Yoon-Joon Lee,18
Jungyun Seo,11
Wang-Chien Lee,5
Gail Mitchell,4
Ashish Gupta 0001,6
Krishna Bharat,11
Andrei Z. Broder,23
Jeffrey Dean,11
Monika Rauch Henzinger,21
Kajal T. Claypool,3
Joachim Hammer,3
Hector Garcia-Molina,54
Umeshwar Dayal,9
Ming-Chien Shan,5
Banu Özden,7
Stavros Christodoulakis,12
Larry Kerschberg,14
T. K. Rengarajan,7
Lucien A. Dimino,3
Lee A. Hollaar,3
Abraham Bernstein,3
Chrysanthos Dellarocas,6
Thomas W. Malone,7
Luc Bouganim,3
Patrick Valduriez,23
Philip J. Smith,7
François Bancilhon,6
Kyu-Young Whang,18
David W. Stemple,8
James P. Callan,4
Il-Yeol Song,7
Surajit Chaudhuri,20
Narain H. Gehani,13
