source,target
Frank Manola,Mark F. Hornick
Frank Manola,Alejandro P. Buchmann
Mark F. Hornick,Alejandro P. Buchmann
Frank Manola,Sandra Heiler
Frank Manola,Farshad Nayeri
Frank Manola,Dimitrios Georgakopoulos
Frank Manola,Michael L. Brodie
Mark F. Hornick,Farshad Nayeri
Mark F. Hornick,Dimitrios Georgakopoulos
Mark F. Hornick,Sandra Heiler
Mark F. Hornick,Michael L. Brodie
Farshad Nayeri,Dimitrios Georgakopoulos
Farshad Nayeri,Sandra Heiler
Farshad Nayeri,Michael L. Brodie
Dimitrios Georgakopoulos,Sandra Heiler
Dimitrios Georgakopoulos,Michael L. Brodie
Sandra Heiler,Michael L. Brodie
Frank Manola,Gail Mitchell
Frank Manola,Peter Scheuermann
Frank Manola,Ahmed K. Elmagarmid
Frank Manola,Hector Garcia-Molina
Frank Manola,Dennis McLeod
Frank Manola,Marjorie Templeton
Frank Manola,Arnon Rosenthal
Peter Scheuermann,Ahmed K. Elmagarmid
Peter Scheuermann,Hector Garcia-Molina
Peter Scheuermann,Dennis McLeod
Peter Scheuermann,Marjorie Templeton
Peter Scheuermann,Arnon Rosenthal
Ahmed K. Elmagarmid,Hector Garcia-Molina
Ahmed K. Elmagarmid,Dennis McLeod
Ahmed K. Elmagarmid,Marjorie Templeton
Ahmed K. Elmagarmid,Arnon Rosenthal
Hector Garcia-Molina,Dennis McLeod
Hector Garcia-Molina,Marjorie Templeton
Hector Garcia-Molina,Arnon Rosenthal
Dennis McLeod,Marjorie Templeton
Dennis McLeod,Arnon Rosenthal
Marjorie Templeton,Arnon Rosenthal
Frank Manola,John R. Nicol
Frank Manola,Craig W. Thompson
Mark F. Hornick,Amit P. Sheth
Dimitrios Georgakopoulos,Amit P. Sheth
Alejandro P. Buchmann,M. Tamer Özsu
Alejandro P. Buchmann,Dimitrios Georgakopoulos
M. Tamer Özsu,Dimitrios Georgakopoulos
Alejandro P. Buchmann,Thomas Kudrass
Alejandro P. Buchmann,Jürgen Zimmermann 0003
Thomas Kudrass,Jürgen Zimmermann 0003
Alejandro P. Buchmann,Oliver Günther
Alejandro P. Buchmann,Özgür Ulusoy
Jürgen Zimmermann 0003,Özgür Ulusoy
