author,sum_art
Lothar Breuer,14
Helmut Seidl,6
Varmo Vene,3
Dieter Baum,8
Vladimir V. Kalashnikov,2
Christoph Meinel,10
Harald Sack,5
Christian Stangier,1
Alexander Kaplan,4
Rainer Tichatschke,4
Nguyen V. Thoai,2
Randal E. Bryant,6
Flemming Nielson,8
Attahiru Sule Alfa,8
E. Levitin,1
Nader H. Bshouty,6
Joydeep Ghosh,5
Ronen I. Brafman,4
Moshe Tennenholtz,9
Fred Damerau,1
Andrew G. Barto,3
Larry M. Manevitz,1
Daphne Koller,2
Samy Bengio,4
Manfred K. Warmuth,7
Colin Campbell,3
Te-Won Lee,7
Terrence J. Sejnowski,19
Peter L. Bartlett,9
Peter Auer,5
David Heckerman,4
Robert C. Williamson,8
John N. Tsitsiklis,6
Nir Friedman,7
Yoram Singer,5
Miles Osborne,3
Erik F. Tjong Kim Sang,6
Ido Dagan,2
Joachim M. Buhmann,3
Eli Shamir 0001,2
David Maxwell Chickering,3
Vijay S. Iyengar,1
Charles X. Ling,5
Sally A. Goldman,5
Olvi L. Mangasarian,3
Alexander J. Smola,4
Shai Ben-David,3
Hans Ulrich Simon,4
Michael I. Jordan,4
Robert P. W. Duin,9
Andrew W. Moore 0001,2
András Lörincz,11
Richard Nock,6
Adam Kalai,2
Santosh Vempala,3
Claudio Gentile,3
Manuela M. Veloso,7
Tom Downs,2
David M. J. Tax,1
Don R. Hush,2
Ran El-Yaniv,6
Robert E. Mahony,5
Johannes Fürnkranz,3
David Horn,4
Hava T. Siegelmann,4
Vladimir Vapnik,4
Bernhard Schölkopf,7
Diane J. Cook,8
Lawrence B. Holder,5
Jürgen Schmidhuber,8
Klaus-Robert Müller,8
Tobias Scheffer,3
Stefan Wrobel,3
Walter Daelemans,5
John Shawe-Taylor,11
Mario Marchand,1
Michael E. Tipping,1
Hendrik Blockeel,4
Katya Scheinberg,1
Tamás Linder,5
Gábor Lugosi,5
Jacques Savoy,3
Daniel S. Weld,4
David B. Lomet,11
Per-Åke Larson,3
Masaru Kitsuregawa,2
Betty Salzberg,2
Amit Singhal,4
Christos Faloutsos,12
Katia P. Sycara,6
Fabio Casati,10
Umeshwar Dayal,6
Ming-Chien Shan,5
Divyakant Agrawal,4
Amr El Abbadi,4
Luis Gravano,6
H. V. Jagadish,4
S. Muthukrishnan,5
Divesh Srivastava,3
Asuman Dogac,7
Ibrahim Cingil,6
Diego Calvanese,4
Giuseppe De Giacomo,4
Maurizio Lenzerini,5
Heiko Schuldt,2
Gustavo Alonso,3
Hans-Jörg Schek,3
Alejandro P. Buchmann,3
Philip A. Bernstein,3
Mehran Sahami,1
Mike P. Papazoglou,3
Marco Pistore,4
Ronald Fagin,7
Laura M. Haas,4
Renée J. Miller,4
Johannes Klein,1
Peter Buneman,3
Pankaj K. Agarwal,14
Daniela Florescu,2
Donald Kossmann,4
Dimitris Papadias,8
Soumen Chakrabarti,3
Steffen Staab,17
Rudi Studer,10
