author,id_article,year
Lothar Breuer,tr/trier/MI01-14,2001
Helmut Seidl,tr/trier/MI02-10,2002
Varmo Vene,tr/trier/MI02-10,2002
Helmut Seidl,tr/trier/MI02-09,2002
Dieter Baum,tr/trier/MI01-02,2001
Vladimir V. Kalashnikov,tr/trier/MI01-02,2001
Dieter Baum,tr/trier/MI01-13,2001
Christoph Meinel,tr/trier/MI02-21,2002
Christoph Meinel,tr/trier/MI01-21,2001
Harald Sack,tr/trier/MI01-21,2001
Dieter Baum,tr/trier/MI01-19,2001
Christoph Meinel,tr/trier/MI01-16,2001
Christian Stangier,tr/trier/MI01-16,2001
Christoph Meinel,tr/trier/MI01-06,2001
Harald Sack,tr/trier/MI01-06,2001
Lothar Breuer,tr/trier/MI02-19,2002
Christoph Meinel,tr/trier/MI01-09,2001
Harald Sack,tr/trier/MI01-09,2001
Lothar Breuer,tr/trier/MI02-11,2002
Alexander Kaplan,tr/trier/MI02-22,2002
Rainer Tichatschke,tr/trier/MI02-22,2002
Christoph Meinel,tr/trier/MI01-07,2001
Harald Sack,tr/trier/MI01-07,2001
Lothar Breuer,tr/trier/MI02-01,2002
Dieter Baum,tr/trier/MI02-18,2002
Alexander Kaplan,tr/trier/MI01-20,2001
Rainer Tichatschke,tr/trier/MI01-20,2001
Lothar Breuer,tr/trier/MI01-18,2001
Dieter Baum,tr/trier/MI01-03,2001
Dieter Baum,tr/trier/MI01-11,2001
Lothar Breuer,tr/trier/MI02-02,2002
Nguyen V. Thoai,tr/trier/MI02-14,2002
Dieter Baum,tr/trier/MI02-16,2002
Vladimir V. Kalashnikov,tr/trier/MI02-16,2002
Lothar Breuer,tr/trier/MI01-10,2001
Randal E. Bryant,tr/trier/MI02-20,2002
Christoph Meinel,tr/trier/MI02-20,2002
Flemming Nielson,tr/trier/MI01-12,2001
Helmut Seidl,tr/trier/MI01-12,2001
Lothar Breuer,tr/trier/MI02-06,2002
Helmut Seidl,tr/trier/MI02-17,2002
Christoph Meinel,tr/trier/MI01-15,2001
Harald Sack,tr/trier/MI01-15,2001
Alexander Kaplan,tr/trier/MI01-01,2001
Rainer Tichatschke,tr/trier/MI01-01,2001
Attahiru Sule Alfa,tr/trier/MI02-07,2002
Lothar Breuer,tr/trier/MI02-07,2002
Lothar Breuer,tr/trier/MI02-15,2002
E. Levitin,tr/trier/MI01-08,2001
Nader H. Bshouty,journals/jmlr/BshoutyE02,2002
Joydeep Ghosh,journals/jmlr/StrehlG02,2002
Ronen I. Brafman,journals/jmlr/BrafmanT02,2002
Moshe Tennenholtz,journals/jmlr/BrafmanT02,2002
Fred Damerau,journals/jmlr/ZhangDJ02,2002
Andrew G. Barto,journals/jmlr/PerkinsB02,2002
Larry M. Manevitz,journals/jmlr/ManevitzY01,2001
Daphne Koller,journals/jmlr/TongK01,2001
Samy Bengio,journals/jmlr/CollobertB01,2001
Manfred K. Warmuth,journals/jmlr/HerbsterW01,2001
Colin Campbell,journals/jmlr/HerbrichGC01,2001
Nader H. Bshouty,journals/jmlr/BshoutyG02,2002
Te-Won Lee,journals/jmlr/ChanLS02,2002
Terrence J. Sejnowski,journals/jmlr/ChanLS02,2002
Peter L. Bartlett,journals/jmlr/BartlettM02,2002
Peter Auer,journals/jmlr/Auer02,2002
David Heckerman,journals/jmlr/MeekTH02,2002
Robert C. Williamson,journals/jmlr/HerbrichW02,2002
John N. Tsitsiklis,journals/jmlr/Tsitsiklis02,2002
Nir Friedman,journals/jmlr/GetoorFKT02,2002
Daphne Koller,journals/jmlr/GetoorFKT02,2002
Yoram Singer,journals/jmlr/CrammerS01,2001
Miles Osborne,journals/jmlr/Osborne02,2002
Erik F. Tjong Kim Sang,journals/jmlr/Sang02,2002
Ido Dagan,journals/jmlr/MarxDBS02,2002
Joachim M. Buhmann,journals/jmlr/MarxDBS02,2002
Eli Shamir 0001,journals/jmlr/MarxDBS02,2002
David Maxwell Chickering,journals/jmlr/Chickering02a,2002
Vijay S. Iyengar,journals/jmlr/ZhangI02,2002
Charles X. Ling,journals/jmlr/LingZ02,2002
Sally A. Goldman,journals/jmlr/DoolyZGA02,2002
Olvi L. Mangasarian,journals/jmlr/FungMS02,2002
Alexander J. Smola,journals/jmlr/FungMS02,2002
Manfred K. Warmuth,journals/jmlr/BousquetW02,2002
Shai Ben-David,journals/jmlr/Ben-DavidES02,2002
Hans Ulrich Simon,journals/jmlr/Ben-DavidES02,2002
Michael I. Jordan,journals/jmlr/BachJ02,2002
Robert P. W. Duin,journals/jmlr/PekalskaPD01,2001
Andrew W. Moore 0001,journals/jmlr/StrensM02,2002
András Lörincz,journals/jmlr/SzitaTL02,2002
Richard Nock,journals/jmlr/SebbanNL02,2002
Adam Kalai,journals/jmlr/KalaiV02,2002
Santosh Vempala,journals/jmlr/KalaiV02,2002
Claudio Gentile,journals/jmlr/Gentile01,2001
Manuela M. Veloso,journals/jmlr/SingerV02,2002
Tom Downs,journals/jmlr/DownsGM01,2001
David M. J. Tax,journals/jmlr/TaxD01,2001
