source,target
Helmut Seidl,Varmo Vene
Dieter Baum,Vladimir V. Kalashnikov
Christoph Meinel,Harald Sack
Christoph Meinel,Christian Stangier
Alexander Kaplan,Rainer Tichatschke
Randal E. Bryant,Christoph Meinel
Flemming Nielson,Helmut Seidl
Attahiru Sule Alfa,Lothar Breuer
Ronen I. Brafman,Moshe Tennenholtz
Te-Won Lee,Terrence J. Sejnowski
Nir Friedman,Daphne Koller
Ido Dagan,Joachim M. Buhmann
Ido Dagan,Eli Shamir 0001
Joachim M. Buhmann,Eli Shamir 0001
Olvi L. Mangasarian,Alexander J. Smola
Shai Ben-David,Hans Ulrich Simon
Adam Kalai,Santosh Vempala
David M. J. Tax,Robert P. W. Duin
Robert E. Mahony,Robert C. Williamson
David Horn,Hava T. Siegelmann
David Horn,Vladimir Vapnik
Hava T. Siegelmann,Vladimir Vapnik
Alexander J. Smola,Bernhard Schölkopf
Alexander J. Smola,Robert C. Williamson
Bernhard Schölkopf,Robert C. Williamson
Diane J. Cook,Lawrence B. Holder
Tobias Scheffer,Stefan Wrobel
Miles Osborne,Walter Daelemans
Mario Marchand,John Shawe-Taylor
Tamás Linder,Gábor Lugosi
Per-Åke Larson,Masaru Kitsuregawa
Per-Åke Larson,Betty Salzberg
Masaru Kitsuregawa,Betty Salzberg
Christos Faloutsos,Katia P. Sycara
Fabio Casati,Umeshwar Dayal
Fabio Casati,Ming-Chien Shan
Umeshwar Dayal,Ming-Chien Shan
Divyakant Agrawal,Amr El Abbadi
Luis Gravano,H. V. Jagadish
Luis Gravano,S. Muthukrishnan
Luis Gravano,Divesh Srivastava
H. V. Jagadish,S. Muthukrishnan
H. V. Jagadish,Divesh Srivastava
S. Muthukrishnan,Divesh Srivastava
Asuman Dogac,Ibrahim Cingil
Diego Calvanese,Giuseppe De Giacomo
Diego Calvanese,Maurizio Lenzerini
Giuseppe De Giacomo,Maurizio Lenzerini
Heiko Schuldt,Gustavo Alonso
Heiko Schuldt,Hans-Jörg Schek
Gustavo Alonso,Hans-Jörg Schek
Luis Gravano,Mehran Sahami
Mike P. Papazoglou,Marco Pistore
Ronald Fagin,Laura M. Haas
Ronald Fagin,Renée J. Miller
Laura M. Haas,Renée J. Miller
Daniela Florescu,Donald Kossmann
Steffen Staab,Rudi Studer
Achim Kraiss,Gerhard Weikum
Soumen Chakrabarti,S. Sudarshan 0001
Dimitrios Gunopulos,Vassilis J. Tsotras
Gonzalo Navarro,Ricardo A. Baeza-Yates
Gonzalo Navarro,Erkki Sutinen
Gonzalo Navarro,Jorma Tarhio
Ricardo A. Baeza-Yates,Erkki Sutinen
Ricardo A. Baeza-Yates,Jorma Tarhio
Erkki Sutinen,Jorma Tarhio
Paul W. P. J. Grefen,Karl Aberer
Mary F. Fernandez,Dan Suciu
Mary F. Fernandez,Wang Chiew Tan
Dan Suciu,Wang Chiew Tan
Alfons Kemper,Donald Kossmann
Norbert Fuhr,Gerhard Weikum
Boualem Benatallah,Zakaria Maamar
Stefano Ceri,Piero Fraternali
Sriram Raghavan,Hector Garcia-Molina
Chiara Francalanci,Barbara Pernici
Chiara Francalanci,Valeria De Antonellis
Barbara Pernici,Valeria De Antonellis
Jeffrey F. Naughton,David J. DeWitt
Jeffrey F. Naughton,David Maier 0001
Jeffrey F. Naughton,Naveen Prakash
Jeffrey F. Naughton,Feng Tian
Jeffrey F. Naughton,Yuan Wang
David J. DeWitt,David Maier 0001
David J. DeWitt,Naveen Prakash
David J. DeWitt,Feng Tian
David J. DeWitt,Yuan Wang
David Maier 0001,Naveen Prakash
David Maier 0001,Feng Tian
David Maier 0001,Yuan Wang
Naveen Prakash,Feng Tian
Naveen Prakash,Yuan Wang
Feng Tian,Yuan Wang
Michael Ortega,Sharad Mehrotra
Leonard J. Seligman,Arnon Rosenthal
Leonard J. Seligman,Paul E. Lehner
Arnon Rosenthal,Paul E. Lehner
Qiming Chen,Meichun Hsu
Vassilis Christophides,Richard Hull 0001
Vassilis Christophides,Akhil Kumar 0001
Vassilis Christophides,Jérôme Siméon
Richard Hull 0001,Akhil Kumar 0001
Richard Hull 0001,Jérôme Siméon
Akhil Kumar 0001,Jérôme Siméon
Elisabeth Davenport,Hazel Hall
Christine L. Borgman,Jonathan Furner
Piotr Berman,Sridhar Hannenhalli
Piotr Berman,Marek Karpinski
Sridhar Hannenhalli,Marek Karpinski
Wenceslas Fernandez de la Vega,Marek Karpinski
Wenceslas Fernandez de la Vega,Claire Kenyon
Wenceslas Fernandez de la Vega,Yuval Rabani
Marek Karpinski,Claire Kenyon
Marek Karpinski,Yuval Rabani
Claire Kenyon,Yuval Rabani
Chandra Chekuri,Sanjeev Khanna
Bruno Durand,Alexander Shen
Bruno Durand,Nikolai K. Vereshchagin
Alexander Shen,Nikolai K. Vereshchagin
Valentine Kabanets,Russell Impagliazzo
Dima Grigoriev,Edward A. Hirsch
Eric Allender,Harry Buhrman
Eric Allender,Dieter van Melkebeek
Harry Buhrman,Dieter van Melkebeek
Mitsunori Ogihara,Seinosuke Toda
Dima Grigoriev,Dmitrii V. Pasechnik
Edward A. Hirsch,Dmitrii V. Pasechnik
Irit Dinur,Venkatesan Guruswami
Vikraman Arvind,Venkatesh Raman 0001
Stasys Jukna,Georg Schnitger
Lars Engebretsen,Venkatesan Guruswami
Paul Beame,Toniann Pitassi
Paul Beame,Ran Raz
Toniann Pitassi,Ran Raz
Marco Cadoli,Francesco M. Donini
Marco Cadoli,Paolo Liberatore
Marco Cadoli,Marco Schaerf
Francesco M. Donini,Paolo Liberatore
Francesco M. Donini,Marco Schaerf
Paolo Liberatore,Marco Schaerf
Peter Jeavons,Peter Jonsson
Marcos A. Kiwi,Miklos Santha
Amos Beimel,Yuval Ishai
Oded Goldreich 0001,Russell Impagliazzo
Oded Goldreich 0001,Steven Rudich
Oded Goldreich 0001,Amit Sahai
Oded Goldreich 0001,Salil P. Vadhan
Russell Impagliazzo,Steven Rudich
Russell Impagliazzo,Amit Sahai
Russell Impagliazzo,Salil P. Vadhan
Steven Rudich,Amit Sahai
Steven Rudich,Salil P. Vadhan
Amit Sahai,Salil P. Vadhan
Omer Reingold,Salil P. Vadhan
Omer Reingold,Avi Wigderson
Salil P. Vadhan,Avi Wigderson
Oded Goldreich 0001,Avi Wigderson
Moni Naor,Omer Reingold
Andris Ambainis,Harry Buhrman
Andris Ambainis,William I. Gasarch
Andris Ambainis,Bala Kalyanasundaram
Andris Ambainis,Leen Torenvliet
Harry Buhrman,William I. Gasarch
Harry Buhrman,Bala Kalyanasundaram
Harry Buhrman,Leen Torenvliet
William I. Gasarch,Bala Kalyanasundaram
William I. Gasarch,Leen Torenvliet
Bala Kalyanasundaram,Leen Torenvliet
Bruno Codenotti,Igor E. Shparlinski
Michal Parnas,Dana Ron
Michal Parnas,Alex Samorodnitsky
Dana Ron,Alex Samorodnitsky
Noga Alon,Wenceslas Fernandez de la Vega
Noga Alon,Ravi Kannan
Noga Alon,Marek Karpinski
Wenceslas Fernandez de la Vega,Ravi Kannan
Ravi Kannan,Marek Karpinski
Peter Bro Miltersen,V. Vinay
Pavol Duris,Juraj Hromkovic
Pavol Duris,Stasys Jukna
Pavol Duris,Martin Sauerhoff
Pavol Duris,Georg Schnitger
Juraj Hromkovic,Stasys Jukna
Juraj Hromkovic,Martin Sauerhoff
Juraj Hromkovic,Georg Schnitger
Stasys Jukna,Martin Sauerhoff
Martin Sauerhoff,Georg Schnitger
Beate Bollig,Stephan Waack
Maciej Liskiewicz,Rüdiger Reischuk
Oded Goldreich 0001,Luca Trevisan
Oded Goldreich 0001,Madhu Sudan
Noga Alon,Oded Goldreich 0001
Noga Alon,Yishay Mansour
Oded Goldreich 0001,Yishay Mansour
Dalit Naor,Moni Naor
Pierre Péladeau,Denis Thérien
Cristina Bazgan,Wenceslas Fernandez de la Vega
Cristina Bazgan,Marek Karpinski
Eli Ben-Sasson,Nicola Galesi
Petr Savický,Detlef Sieling
Henning Fernau,Rolf Niedermeier
Eric Allender,David A. Mix Barrington
Andrei A. Muchnik,Nikolai K. Vereshchagin
Eric Allender,V. Vinay
Daniele Micciancio,Erez Petrank
Amnon Ta-Shma,David Zuckerman
Amnon Ta-Shma,Shmuel Safra
David Zuckerman,Shmuel Safra
Cynthia Dwork,Moni Naor
Piotr Berman,Amir Ben-Dor
Piotr Berman,Itsik Pe'er
Piotr Berman,Ron Shamir
Amir Ben-Dor,Itsik Pe'er
Amir Ben-Dor,Ron Shamir
Itsik Pe'er,Ron Shamir
Ran Canetti,Joe Kilian
Ran Canetti,Erez Petrank
Joe Kilian,Erez Petrank
Jan Johannsen,Toniann Pitassi
Jan Johannsen,Alasdair Urquhart
Toniann Pitassi,Alasdair Urquhart
Lars Engebretsen,Alexander Russell
Stasys Jukna,Stanislav Zák
Irit Dinur,Shmuel Safra
Oded Goldreich 0001,Howard J. Karloff
Oded Goldreich 0001,Leonard J. Schulman
Howard J. Karloff,Leonard J. Schulman
Howard J. Karloff,Luca Trevisan
Leonard J. Schulman,Luca Trevisan
Ronald Cramer,Victor Shoup
Chris Pollett,Farid M. Ablayev
Chris Pollett,Cristopher Moore
Farid M. Ablayev,Cristopher Moore
Michael E. Whitman,Catherine M. Beise
Richard G. Vedder,Carl Stephen Guynes
Rosemary H. Wild,Eldon Y. Li
Mark I. Hwang,James J. Cappel
Charles A. Snyder,Houston H. Carr
Jennifer Kreie,Timothy Paul Cronan
Randall S. Sexton,John W. Satzinger
Sherry D. Ryan,Victor R. Prybutok
Cynthia K. Riemenschneider,Bill C. Hardgrave
Niv Ahituv,Seev Neumann
Niv Ahituv,Moshe Zviran
Seev Neumann,Moshe Zviran
Chang Liu,Kirk P. Arnett
David C. Yen,David C. Chou
Parag C. Pendharkar,Girish H. Subramanian
Girish H. Subramanian,John T. Nosek
Ye-Sho Chen,P. Pete Chong
Gerald V. Post,Albert Kagan
Minder Chen,Yihwa Irene Liou
Eldon Y. Li,Houn-Gee Chen
Chee-Fai Yung,Hsin-Teng Sheu
José Álvarez-Ramírez,Rodolfo Suárez
S. Sitharama Iyengar,Krishnendu Chakrabarty
Christopher I. Byrnes,Xiaoming Hu
Christopher I. Byrnes,Clyde F. Martin
Xiaoming Hu,Clyde F. Martin
Athina P. Petropulu,Konstantinos I. Diamantaras
David D. Sworder,John E. Boyd
José Rodellar,Josep Vehí
José Rodellar,Manuel de la Sen
Josep Vehí,Manuel de la Sen
Bin Jiang,Jian Liang Wang
Bo Hu,Anthony N. Michel
Maurice F. Aburdene,Rabinder N. Madan
