source,target,prediction
Helmut Seidl,Varmo Vene,P
Dieter Baum,Vladimir V. Kalashnikov,P
Randal E. Bryant,Christoph Meinel,P
Flemming Nielson,Helmut Seidl,P
Attahiru Sule Alfa,Lothar Breuer,P
Ido Dagan,Joachim M. Buhmann,P
Joachim M. Buhmann,Eli Shamir 0001,P
Olvi L. Mangasarian,Alexander J. Smola,P
Shai Ben-David,Hans Ulrich Simon,P
Adam Kalai,Santosh Vempala,P
Robert E. Mahony,Robert C. Williamson,P
David Horn,Hava T. Siegelmann,P
David Horn,Vladimir Vapnik,P
Hava T. Siegelmann,Vladimir Vapnik,P
Tobias Scheffer,Stefan Wrobel,P
Miles Osborne,Walter Daelemans,P
Mario Marchand,John Shawe-Taylor,P
Per-Åke Larson,Masaru Kitsuregawa,P
Per-Åke Larson,Betty Salzberg,P
Masaru Kitsuregawa,Betty Salzberg,P
Christos Faloutsos,Katia P. Sycara,P
Luis Gravano,H. V. Jagadish,P
Luis Gravano,S. Muthukrishnan,P
Luis Gravano,Divesh Srivastava,P
H. V. Jagadish,S. Muthukrishnan,P
S. Muthukrishnan,Divesh Srivastava,P
Heiko Schuldt,Gustavo Alonso,P
Mike P. Papazoglou,Marco Pistore,P
Ronald Fagin,Laura M. Haas,P
Ronald Fagin,Renée J. Miller,P
Soumen Chakrabarti,S. Sudarshan 0001,P
Dimitrios Gunopulos,Vassilis J. Tsotras,P
Gonzalo Navarro,Erkki Sutinen,P
Gonzalo Navarro,Jorma Tarhio,P
Ricardo A. Baeza-Yates,Erkki Sutinen,P
Ricardo A. Baeza-Yates,Jorma Tarhio,P
Paul W. P. J. Grefen,Karl Aberer,P
Norbert Fuhr,Gerhard Weikum,P
Boualem Benatallah,Zakaria Maamar,P
Chiara Francalanci,Barbara Pernici,P
Chiara Francalanci,Valeria De Antonellis,P
Jeffrey F. Naughton,Naveen Prakash,P
Jeffrey F. Naughton,Feng Tian,P
Jeffrey F. Naughton,Yuan Wang,P
David J. DeWitt,Naveen Prakash,P
David J. DeWitt,Feng Tian,P
David J. DeWitt,Yuan Wang,P
David Maier 0001,Naveen Prakash,P
David Maier 0001,Feng Tian,P
David Maier 0001,Yuan Wang,P
Naveen Prakash,Feng Tian,P
Naveen Prakash,Yuan Wang,P
Feng Tian,Yuan Wang,P
Arnon Rosenthal,Paul E. Lehner,P
Vassilis Christophides,Richard Hull 0001,P
Vassilis Christophides,Akhil Kumar 0001,P
Richard Hull 0001,Akhil Kumar 0001,P
Richard Hull 0001,Jérôme Siméon,P
Akhil Kumar 0001,Jérôme Siméon,P
Elisabeth Davenport,Hazel Hall,P
Christine L. Borgman,Jonathan Furner,P
Piotr Berman,Sridhar Hannenhalli,P
Sridhar Hannenhalli,Marek Karpinski,P
Wenceslas Fernandez de la Vega,Claire Kenyon,P
Wenceslas Fernandez de la Vega,Yuval Rabani,P
Marek Karpinski,Claire Kenyon,P
Marek Karpinski,Yuval Rabani,P
Chandra Chekuri,Sanjeev Khanna,P
Bruno Durand,Alexander Shen,P
Bruno Durand,Nikolai K. Vereshchagin,P
Valentine Kabanets,Russell Impagliazzo,P
Dima Grigoriev,Edward A. Hirsch,P
Eric Allender,Harry Buhrman,P
Eric Allender,Dieter van Melkebeek,P
Dima Grigoriev,Dmitrii V. Pasechnik,P
Edward A. Hirsch,Dmitrii V. Pasechnik,P
Irit Dinur,Venkatesan Guruswami,P
Vikraman Arvind,Venkatesh Raman 0001,P
Stasys Jukna,Georg Schnitger,P
Lars Engebretsen,Venkatesan Guruswami,P
Paul Beame,Ran Raz,P
Marcos A. Kiwi,Miklos Santha,P
Amos Beimel,Yuval Ishai,P
Oded Goldreich 0001,Russell Impagliazzo,P
Oded Goldreich 0001,Steven Rudich,P
Russell Impagliazzo,Amit Sahai,P
Russell Impagliazzo,Salil P. Vadhan,P
Steven Rudich,Amit Sahai,P
Steven Rudich,Salil P. Vadhan,P
Andris Ambainis,Harry Buhrman,P
Andris Ambainis,William I. Gasarch,P
Andris Ambainis,Bala Kalyanasundaram,P
Andris Ambainis,Leen Torenvliet,P
Harry Buhrman,William I. Gasarch,P
Harry Buhrman,Bala Kalyanasundaram,P
William I. Gasarch,Bala Kalyanasundaram,P
William I. Gasarch,Leen Torenvliet,P
Bala Kalyanasundaram,Leen Torenvliet,P
Bruno Codenotti,Igor E. Shparlinski,P
Michal Parnas,Dana Ron,P
Michal Parnas,Alex Samorodnitsky,P
Noga Alon,Wenceslas Fernandez de la Vega,P
