source,target,prediction
Tony Przygienda,Jérôme Olivier Durand-Lose,N
Sun-Yuan Kung,Andrew Chi-Chih Yao,N
Mohammad Amin Shokrollahi,John Tromp,N
Anthony Olden,John M. Wilson 0001,N
Greg O'Shea,Noureddine Zerhouni,N
Zoltán Szigeti,Yanghee Choi,N
Alexander B. Bordetsky,Michael J. Vrhel,N
Nobuki Takayama,Danilo Florissi,N
Marc Moens,Heiko Mosemann,N
Takeshi Furuhashi,Kalahasthi C. Indukumar,N
John N. Mordeson,Yehoshua Sagiv,N
Anthony Steed,John E. McInroy,N
Holger Wendland,Perry L. Miller,N
Michel Diaz,Robert J. Stroud,N
Salvatore Baglio,Geoffrey Holmes,N
Louis A. Martin-Vega,Per Gunningberg,N
Pat R. Calhoun,Lawrence J. Hubert,N
Martti T. Hallikainen,Graeme G. Shanks,N
Paolo Lugli,Hans-Peter Meinzer,N
Eiji Takimoto,Juan A. Carrasco,N
Joel E. Richardson,Andre Scedrov,N
Peter Schröder,Andrzej M. Trzynadlowski,N
Klaus Turowski,Andreas Lanitis,N
Charles J. Colbourn,Phil Husbands,N
Koichiro Deguchi,Wolfgang Linert,N
Peter Alfeld,Hiromitsu Wakana,N
Jian Ma 0008,Tibor Jordán,N
José Rodellar,Paul Beame,N
Jonathan W. Essex,Brahim Chaib-draa,N
Kathleen M. Nichols,Yasufumi Takama,N
Shi Jin,Raymond G. Gosine,N
Philip K. McKinley,Mihalis Psarakis,N
Katsuro Inoue,Kees Verstoep,N
Jeffrey Xu Yu,Pedro A. García-Sánchez,N
Max J. Egenhofer,T. Parthasarathy,N
Jong-Kook Kim,Mohamed-Slim Alouini,N
Jon May,L. Darrell Whitley,N
Maurice Herlihy,Eric T. G. Wang,N
Mark Ainsworth,John Lee 0004,N
Josselin Garnier,Lam-for Kwok,N
C. L. Liu 0001,Douglas N. Arnold,N
Michael S. Lewicki,Sinan Batman,N
Ren C. Luo,Andrew Sohn,N
Laurent Alonso,Anna Bernasconi 0001,N
Mark Borodovsky,John Darlington,N
Mor Harchol-Balter,Don J. Torrieri,N
Young-Keun Park,Tom Høholdt,N
Pascale Fung,Byoung Kyu Choi,N
Michael Peleg,George Rahonis,N
Robert P. Sheridan,Michael J. Ward,N
Jop F. Sibeyn,Andy King,N
Xiaofeng Liao,Qiang Li,N
Aníbal R. Figueiras-Vidal,Suresh Konda,N
Hiroyuki Kojima,Ming-Bo Lin,N
Elie Sanchez,Sriganesh Madhvanath,N
Arne A. Nilsson,P. Padhi,N
Rick H. Middleton,Houmin Yan,N
Gordon G. Cash,B. Curtis Eaves,N
Georg Hartmann,Henry C. Tuckwell,N
Matthew T. Freedman,Sang-Rok Oh,N
Joon Hee Han,Sudhakar Muddu,N
Geoffrey J. Barton,Giacomo Indiveri,N
Divesh Srivastava,Serge Burckel,N
David Hansel,Didier Caucal,N
Luis Gravano,Minesh B. Amin,N
Attawith Sudsang,Jonathan P. How,N
Thomas Rose 0001,Wen-Jun Zhang 0001,N
George K. Thiruvathukal,Mary F. Fernandez,N
Gudmund Skovbjerg Frandsen,Mrinal K. Mandal,N
Mark Guzdial,Christopher M. Bishop,N
Isaac Cohen,Hidenori Kimura,N
Joseph Achkar,A. Th. Schreiber,N
David Harwood,Roldan Pozo,N
Makoto Sato,Kesheng Wu,N
Saleem A. Kassam,Jean-Marc Vesin,N
Stephen Alstrup,Sabine Coquillart,N
Robert S. Strichartz,Jörg Liebeherr,N
András Sebö,Rüdiger W. Brause,N
Dan I. Moldovan,Xavier Gandibleux,N
David A. Gustafson,Kim B. Bruce,N
John Rhodes,Vincent Tam,N
Karl Kurbel,Jerry N. Luftman,N
Vasco Thudichum Vasconcelos,Bilge Günsel,N
Doug A. Bowman,Clifford A. Reiter,N
Wee Kheng Leow,Roman Z. Morawski,N
Rauf Izmailov,Hiromitsu Wakana,N
Deng-Jyi Chen,Robert K. Brayton,N
