source,target,prediction
51994,98,N
50733,228,N
171617,228,N
119782,228,N
78387,228,N
172058,520,N
118611,520,N
90448,520,N
68741,520,N
9536,520,N
306717,654,N
136067,654,N
74100,654,N
158548,654,N
226432,802,N
323903,802,N
183753,879,N
230689,879,N
164749,879,N
290790,879,N
136256,879,N
249651,1038,N
211820,1038,N
287201,1084,N
64263,1342,N
128763,1342,N
181745,1342,N
227166,1342,N
101882,1342,N
128345,1342,N
308581,1342,N
16798,1444,N
252420,1444,N
244046,1444,N
83727,1641,N
104143,1641,N
177938,1641,N
243301,1641,N
301405,1641,N
307579,1641,N
277123,1641,N
82498,1641,N
123074,1641,N
166977,1641,N
37700,1737,N
176118,1737,N
220066,1737,N
252420,1768,N
97389,1781,N
104230,1781,N
216826,1781,N
240119,1781,N
103398,1781,N
186377,1781,N
71676,1867,N
204553,1999,N
321589,1999,N
187837,1999,N
273015,1999,N
281075,2067,N
249286,2067,N
33136,2132,N
248848,2132,N
157884,2132,N
165929,2132,N
132748,2132,N
230255,2132,N
23106,2132,N
149863,2132,N
108503,2132,N
259637,2132,N
64569,2212,N
65825,2240,N
52454,2240,N
9398,2240,N
134688,2240,N
141189,2240,N
10479,2260,N
92272,2260,N
92143,2260,N
261193,2260,N
82121,2550,N
240810,2550,N
149370,2550,N
147667,2550,N
33641,2805,P
123776,2805,N
174497,2805,N
127337,2805,N
178216,2805,N
13779,3117,N
212377,3117,N
78288,3120,N
61530,3120,N
236065,3120,N
90078,3133,N
124941,3133,N
292608,3380,N
173952,3380,N
49885,3472,N
56849,3472,N
132253,3472,N
210253,3472,N
156813,3472,N
9672,3472,N
58100,3790,N
83870,3790,N
248186,3790,N
224298,3836,N
63404,3836,N
300598,3836,N
156995,4033,N
157683,4033,N
83910,4065,N
258945,4065,N
83844,4152,N
65721,4194,N
146990,4194,N
324660,4194,N
303209,4194,N
79743,4194,N
201058,4194,N
297314,4201,N
183643,4201,N
230664,4201,N
253473,4201,N
185714,4201,N
76168,4222,N
275018,4222,N
138140,4242,N
223821,4242,N
130898,4242,N
141738,4242,N
294531,4242,N
40639,4259,N
87197,4259,N
79729,4296,N
183480,4296,N
139679,4296,N
126725,4307,N
269050,4307,N
203954,4307,N
5410,4307,N
156778,4358,N
207634,4358,N
274768,4358,N
175240,4358,N
57825,4361,N
99469,4361,N
260235,4361,N
272311,4361,N
211738,4433,N
47426,4433,N
173269,4433,N
191487,4433,N
78172,4433,N
113030,4433,N
273642,4433,N
23240,4445,N
209379,4445,N
112862,4445,N
255277,4445,N
82527,4445,N
97358,4445,N
291403,4455,N
176734,4455,N
83568,4455,N
115563,4455,N
311322,4515,N
199434,4515,N
156813,4515,N
18843,4523,N
44151,4523,N
214323,4523,N
224549,4523,N
73704,4523,N
127422,4523,N
302080,4523,N
159981,4523,N
316905,4523,N
73501,4523,N
314738,4549,N
267313,4549,N
296160,4549,N
16662,4549,N
142084,4549,N
201140,4560,N
10101,4560,N
229999,4560,N
110260,4562,N
74210,4562,N
85657,4562,N
315216,4562,N
167578,4562,N
273496,4566,N
292086,4566,N
13748,4566,N
228370,4593,N
272293,4593,N
176699,4593,N
15592,4593,N
56584,4593,N
259803,4625,N
138097,4625,N
227970,4625,N
267345,4625,N
231565,4625,N
302010,4651,N
156165,4651,N
246454,4651,N
110079,4695,N
143009,4695,N
143188,4716,N
200417,4716,N
233921,4751,N
34612,4751,N
309194,4751,N
91893,4751,N
240778,4764,N
311136,4764,N
112250,4764,N
190751,4786,N
239628,4786,N
201342,4786,N
177847,4786,N
185304,4786,N
15105,4796,N
72898,4796,N
293956,4796,N
17754,4796,N
269253,4796,N
72260,4799,N
255225,4799,N
172155,4799,N
61306,4804,N
149917,4804,N
314644,4804,N
323978,4840,N
237369,4840,N
231403,4840,N
9336,4840,N
96459,4841,N
63264,4841,N
64944,4841,N
144849,4841,N
46355,4841,N
200122,4879,N
251071,4879,N
170348,4881,N
30797,4881,N
98242,4881,N
190874,4881,N
81923,4881,N
20228,4922,N
254757,4922,N
265565,4922,N
10624,4922,N
125444,4922,N
178179,4922,N
87222,4930,N
273903,4930,N
290999,4930,N
225104,4930,N
65059,4930,N
12439,4940,N
173962,4940,N
295313,4940,N
229185,4940,N
134972,4940,N
130430,4955,N
124921,4955,N
255572,4955,N
47114,4960,N
17899,4968,N
69347,4968,N
148581,4968,N
16815,5023,P
34383,5023,N
130729,5023,N
194225,5023,N
134789,5025,N
192014,5025,N
269895,5046,N
8578,5046,N
36511,5046,N
126406,5046,N
62969,5046,N
235795,5046,N
77000,5046,N
59097,5046,N
238963,5046,N
253220,5055,N
171224,5055,N
201834,5084,N
262759,5084,N
127351,5084,N
312377,5096,N
236031,5096,N
193061,5096,N
49271,5100,N
113368,5100,N
202802,5100,N
280687,5100,N
119731,5100,N
14345,5135,P
191161,5154,N
311893,5154,N
50607,5154,N
20593,5154,N
317285,5155,N
295648,5155,N
148668,5155,N
225819,5173,N
114434,5173,N
117220,5173,N
34359,5173,N
116465,5195,N
79220,5195,N
313575,5195,N
21673,5195,N
276095,5195,N
193300,5208,P
108448,5208,N
94559,5208,N
130979,5208,N
317285,5208,N
320701,5220,N
269385,5257,N
308785,5257,N
17369,5315,N
103222,5315,N
126782,5315,N
223195,5315,N
310956,5315,N
136893,5315,N
164001,5332,N
219852,5332,N
320609,5332,N
74579,5397,N
222869,5397,N
135814,5397,N
230255,5403,N
137338,5404,N
255754,5404,N
165117,5404,N
151245,5406,N
112497,5406,N
233913,5410,N
241516,5425,N
105954,5425,N
9806,5425,N
192806,5449,N
81524,5453,N
215730,5453,N
109845,5453,N
216175,5453,N
214332,5453,N
68371,5453,N
108029,5465,N
219087,5505,N
136448,5506,N
167156,5506,N
189969,5506,N
208990,5506,N
313237,5506,N
29331,5506,N
116965,5512,N
147637,5512,N
292608,5512,N
26120,5512,N
242427,5512,N
130737,5529,N
262218,5529,N
286159,5529,N
74961,5558,N
20566,5558,N
295232,5592,N
198479,5592,N
189740,5597,N
196087,5597,N
14354,5597,N
119040,5597,N
128611,5628,P
201585,5628,P
314761,5628,N
251707,5628,N
250944,5628,N
157032,5630,N
285583,5630,N
48869,5630,N
75300,5668,N
204553,5668,N
26578,5668,N
252510,5668,N
76287,5668,N
104467,5668,N
59933,5719,N
38326,5733,N
196121,5733,N
205893,5733,N
69886,5733,N
245712,5733,N
219826,5764,N
308785,5764,N
104794,5764,N
138098,5775,N
60748,5775,N
135050,5775,N
129045,5775,N
134057,5775,N
231556,5775,N
272950,5801,N
299274,5801,N
10320,5801,N
296898,5821,N
239958,5821,N
73847,5821,N
281344,5821,N
107329,5821,N
227217,5822,N
7188,5822,N
187198,5822,N
92534,5830,N
144683,5830,N
157978,5830,N
117692,5830,N
38381,5830,N
16359,5830,N
136843,5830,N
151845,5830,N
298660,5830,N
71911,5851,N
175240,5851,N
192486,5851,N
117252,5851,N
200402,5919,N
309422,5919,N
41988,5919,N
313456,5919,N
78504,5919,N
245003,5926,P
81838,5926,N
66264,5926,N
202168,5926,N
109053,5926,N
99013,5926,N
38236,5928,N
62909,5928,N
241618,5928,N
72099,5928,N
209152,5928,N
287889,5970,N
130785,5970,N
171800,5970,N
255277,5970,N
83883,5970,N
49051,5972,N
96757,5972,N
32948,5972,N
13203,5972,N
318356,5977,N
144076,5977,N
231898,5977,N
108401,5989,N
83709,5989,N
157724,6008,N
185963,6008,N
252976,6008,N
248842,6008,N
67013,6008,N
136774,6024,N
290957,6024,N
213222,6024,N
86117,6072,N
279514,6072,N
229830,6072,N
308729,6072,N
136182,6086,N
53565,6086,N
177925,6086,N
223647,6093,N
261322,6093,N
182826,6097,N
267468,6097,N
56162,6101,N
127347,6101,N
235305,6101,N
114671,6101,N
242503,6101,N
11539,6131,N
209157,6131,N
233939,6131,N
289802,6131,N
239533,6131,N
4840,6134,N
48969,6134,N
299024,6134,N
227879,6134,N
306423,6134,N
119035,6134,N
242706,6142,N
18725,6143,N
23231,6143,N
23240,6143,N
31883,6143,N
74175,6143,N
208292,6143,N
292741,6143,N
313323,6143,N
322626,6143,N
48982,6143,N
295588,6143,N
113095,6143,N
11493,6155,N
198998,6155,N
267591,6155,N
58950,6155,N
136685,6166,N
295545,6166,N
315407,6183,N
307089,6183,N
105866,6183,N
155910,6183,N
173308,6183,N
228784,6183,N
129330,6197,N
155534,6197,N
266101,6197,N
29347,6197,N
46058,6197,N
129221,6207,N
288822,6207,N
85350,6229,N
72941,6247,N
274620,6247,N
207788,6247,N
118918,6287,N
191204,6287,N
293760,6287,N
173435,6287,N
136413,6330,N
268818,6330,N
137766,6341,N
306747,6341,N
172283,6341,N
47613,6341,N
223247,6442,N
251240,6442,N
323903,6445,N
7391,6445,N
187082,6445,N
91161,6466,N
291014,6466,N
250232,6466,N
47054,6466,N
81791,6466,N
226416,6466,N
192991,6480,N
148044,6480,N
281594,6531,N
269253,6531,N
13151,6531,N
85375,6531,N
243891,6531,N
159535,6551,N
250857,6551,N
299511,6551,N
233921,6551,N
270858,6551,N
205397,6554,N
74394,6554,N
60203,6554,N
125887,6571,N
108336,6571,N
8939,6571,N
22561,6571,N
279234,6576,N
31317,6576,N
191191,6577,N
59912,6600,N
266109,6667,N
189454,6667,N
76232,6667,N
148883,6667,N
73623,6686,N
196616,6686,N
255930,6686,N
189348,6686,N
275446,6738,N
197807,6738,N
109574,6804,N
81698,6804,N
50846,6804,N
25955,6825,N
28365,6825,N
42475,6825,N
73265,6825,N
13411,6825,N
82245,6825,N
95999,6825,N
21370,6863,N
324394,6863,N
280805,6863,N
136993,6941,N
239990,6941,N
284311,6943,N
190079,6943,N
171374,6943,N
110141,6943,N
127938,6943,N
153288,6943,N
173293,6943,N
32303,6969,N
157043,6969,N
96239,6969,N
96340,6969,N
136428,6969,N
159195,6999,N
317107,6999,N
62916,6999,N
39130,6999,N
30364,7055,P
118195,7055,N
164231,7055,N
202455,7055,N
213382,7055,N
167526,7055,N
19129,7055,N
46019,7055,N
266637,7055,N
46189,7145,N
236045,7145,N
84817,7145,N
195493,7145,N
280670,7165,N
242010,7165,N
309273,7165,N
56333,7165,N
255541,7188,N
126630,7188,N
157636,7188,N
232750,7188,N
5173,7230,N
183719,7230,N
165672,7230,N
190001,7329,N
313644,7329,N
41059,7329,N
57658,7391,N
67391,7391,N
232892,7391,N
281344,7391,N
70480,7391,N
280687,7391,N
102308,7391,N
246949,7391,N
251303,7391,N
79776,7391,N
117495,7391,N
20027,7393,N
177815,7393,N
268818,7425,N
109845,7425,N
216911,7425,N
34263,7441,N
87522,7451,N
285868,7451,N
310352,7486,N
78293,7486,N
256291,7486,N
60502,7531,N
14517,7531,N
100644,7531,N
205454,7531,N
245943,7546,N
185848,7602,N
46774,7611,N
104598,7611,N
228128,7611,N
187928,7635,N
245286,7635,N
253207,7635,N
274759,7635,N
73237,7635,N
10449,7635,N
82613,7635,N
152471,7635,N
95936,7693,N
192784,7693,N
215048,7693,N
264227,7693,N
158333,7693,N
73457,7696,N
324198,7696,N
73501,7696,N
69912,7696,N
92898,7696,N
98975,7699,N
278760,7699,N
269419,7699,N
50233,7702,N
58213,7702,N
68115,7702,N
92043,7702,N
104876,7702,N
106736,7702,N
132062,7702,N
133877,7702,N
248682,7702,N
252976,7702,N
286067,7702,N
302518,7702,N
118509,7702,N
242694,7702,N
48176,7702,N
96495,7702,N
189687,7714,N
308729,7714,N
24227,7714,N
163006,7714,N
39174,7751,N
127035,7751,N
287058,7757,N
235305,7757,N
225382,7757,N
248020,7757,N
16786,7757,N
109443,7818,N
241367,7818,N
13058,7825,N
26858,7825,N
59304,7825,N
66962,7825,N
69852,7825,N
72483,7825,N
126725,7825,N
191191,7825,N
232570,7825,N
241400,7825,N
280318,7825,N
304057,7825,N
308180,7825,N
199066,7825,N
11391,7825,N
323350,7863,N
184352,7863,N
148549,7863,N
194380,7863,N
