source,target,prediction
Curt H. Davis,A. A. Soliman,P
Colin Studholme,A. Ardeshir Goshtasby,N
Lawrence H. Staib,A. Ardeshir Goshtasby,N
Ivan Marsic,A. Ardeshir Goshtasby,P
Ertem Tuncel,A. Ardeshir Goshtasby,P
Lee M. Garth,A. C. Cem Say,N
Ion Petre,A. C. Cem Say,N
Gagan L. Choudhury,A. C. Cem Say,P
Donia Scott,A. C. Cem Say,P
Alessio Carullo,A. C. Cem Say,P
Wei Wang 0010,A. Chockalingam,P
Jesús Navarro-Moreno,A. Chockalingam,P
Eldon Y. Li,A. Chockalingam,N
Kaushal Chari,A. Chockalingam,N
Paul L. Rosin,A. David Marshall,P
Zhili Sun,A. David Marshall,P
Mahbub Hassan,A. Donald Keedwell,P
Peter Mihók,A. Donald Keedwell,N
Klaus Obermayer,A. Donald Keedwell,N
Thomas Stockhammer,A. Donald Keedwell,N
Jia-Guang Sun,A. Donald Keedwell,P
Robert Kozma 0001,A. F. El-Bassiouny,P
Nageswara S. V. Rao,A. F. El-Bassiouny,P
Teresa Serrano-Gotarredona,A. Fazel Famili,P
Dennis F. Galletta,A. Graham Peace,N
James Y. L. Thong,A. Graham Peace,P
M. P. Bekakos,A. Graham Peace,N
Paul W. H. Chung,A. Graham Peace,P
H. Jeff Smith,A. Graham Peace,N
James R. McDonald,A. Graham Peace,N
Willem Visser,A. Graham Peace,P
Andrzej Ruszczynski,A. Hamid Aghvami,N
Roger T. Alexander,A. Hamid Aghvami,N
Rekha R. Thomas,A. Hamid Aghvami,P
Fotini-Niovi Pavlidou,A. J. Han Vinck,P
Haniph A. Latchman,A. J. Han Vinck,N
Luo Yuan,A. J. Han Vinck,P
Raymond W. Yeung,A. J. Han Vinck,N
Victor K. Wei,A. J. Han Vinck,P
Wende Chen,A. J. Han Vinck,N
Steven Furnell,A. J. Han Vinck,P
Felix W. Wehrli,A. J. Han Vinck,P
J. N. Reddy,A. J. Han Vinck,N
Kun-Shan Chen,A. J. Han Vinck,P
Camil Demetrescu,A. J. van de Goor,P
Lou Caccetta,A. J. van de Goor,N
Otthein Herzog,A. J. van de Goor,P
Roger T. Alexander,A. Jefferson Offutt,P
Gordon D. Plotkin,A. John Power,N
Hannes Federrath,A. John Power,P
Norbert Fuhr,A. John Power,N
Rahul Mukerjee,A. John Power,P
Haili Chui,A. John Power,P
Marcel Waldvogel,A. John Power,P
E. Vance Wilson,A. K. Ray,P
Miguel Pasadas,A. Kouibia,N
Yun-Hui Liu,A. Kouibia,N
Maria Angeles Vázquez-Castro,A. Kouibia,P
Stamatis Vassiliadis,A. Kouibia,N
Swaroop Darbha,A. L. Narasimha Reddy,P
Robert I. Damper,A. L. Narasimha Reddy,P
Brian M. Sadler,A. Lee Swindlehurst,P
Robert F. H. Fischer,A. Lee Swindlehurst,P
Kathleen Hoffman,A. Lee Swindlehurst,N
Kotaro Hirasawa,A. Lee Swindlehurst,P
Jean-Michel Morel,A. Lee Swindlehurst,N
Peter Kabal,A. Lee Swindlehurst,N
Asuman Dogac,A. Lee Swindlehurst,N
Judee K. Burgoon,A. Lee Swindlehurst,N
Henry A. Kierstead,A. Lee Swindlehurst,P
S. Y. Ron Hui,A. Lee Swindlehurst,N
Der-Chyuan Lou,A. M. Abd-Alla,P
Dieter W. Fellner,A. M. Day,N
Cüneyt Güzelis,A. M. Day,N
Alessandro De Gloria,A. M. Day,N
Jennifer Seberry,A. M. Day,N
John C. Hart,A. M. Day,P
Alexander Schrijver,A. M. H. Gerards,N
Geoffrey P. Whittle,A. M. H. Gerards,P
Geoff Whittle,A. M. H. Gerards,N
Samuel Kaski,A. M. H. Gerards,N
Fatos T. Yarman-Vural,A. Murat Tekalp,N
Rajiv Mehrotra,A. Murat Tekalp,P
Juan A. Carrasco,A. Murat Tekalp,N
Joseph Sarkis,A. Murat Tekalp,P
Bruce A. Draper,A. P. Wim Böhm,N
J. Ross Beveridge,A. P. Wim Böhm,P
Linda G. Wallace,A. P. Wim Böhm,P
James F. Kurose,A. P. Wim Böhm,N
Lyn Bartram,A. P. Wim Böhm,N
Anastasios Stamoulis,A. Robert Calderbank,N
Naofal Al-Dhahir,A. Robert Calderbank,N
Ernst M. Gabidulin,A. Robin Forrest,N
David Ngo Chek Ling,A. Robin Forrest,P
Qing Zhao,A. Robin Forrest,P
Gabor T. Herman,A. Roger Hammons Jr.,N
Jaap van Pelt,A. Roger Hammons Jr.,N
Ting Chen,A. Senthil Kumar,P
Lida Xu,A. Senthil Kumar,P
Claudio De Persis,A. Stephen Morse,P
Daniel Liberzon,A. Stephen Morse,P
Jean-François Mertens,A. Stephen Morse,N
Márcia R. Cerioli,A. Stephen Morse,P
Karim Nour,A. Stephen Morse,N
Alex H. B. Duffy,A. Stephen Morse,N
Darren A. Natale,A. Volgenant,N
Francesc Esteva,A. Volgenant,N
Robert Babuska,A. Volgenant,N
Patricia Flatley Brennan,A. W. Roscoe,N
Deborah Estrin,A. W. Roscoe,N
Vassilis G. Kaburlasos,A. W. Roscoe,P
Karl Doerner,A. Özdes,N
Kate S. Hone,A. Özdes,N
Francesca Cuomo,Aapo Hyvärinen,N
S. S. Alam,Aapo Hyvärinen,P
Frances M. G. Pearl,Aaron Marcus,P
Dieter Jungnickel,Aart Blokhuis,P
Joseph A. Thas,Aart Blokhuis,P
Zsuzsa Weiner,Aart Blokhuis,N
Vladimir Makarenkov,Aart Blokhuis,N
Eytan Ruppin,Aart Blokhuis,N
Michael J. Flynn,Aart Blokhuis,N
U. Pal 0001,Aart van Harten,P
Magnus Boman,Aart van Harten,N
Peter Meer,Aart van Harten,N
Ron Weber,Aart van Harten,N
Marc Bezem,Aart van Harten,N
Enrico Formenti,Abba B. Gumel,N
Stephen A. Fenner,Abba B. Gumel,N
Jing Chen,Abbas Jamalipour,P
Pascal Lorenz,Abbas Jamalipour,P
Jaswinder Pal Singh,Abbas Jamalipour,N
John E. McInroy,Abbas Jamalipour,P
Toni M. Somers,Abbas Jamalipour,P
Chan-Soo Hwang,Abbie Barbir,P
Friedrich M. Wahl,Abbie Barbir,P
Eyas El-Qawasmeh,Abdel Elah Al-Ayyoub,P
Madhu Sudan,Abdel Elah Al-Ayyoub,P
Jochen R. Moehr,Abdel Elah Al-Ayyoub,N
James Allan,Abdel-Illah Mouaddib,P
Shlomo Zilberstein,Abdel-Illah Mouaddib,N
Michele Malgeri,Abdel-Illah Mouaddib,P
Adnan Darwiche,Abdel-Illah Mouaddib,N
Karim Abed-Meraim,Abdelhak M. Zoubir,N
Moeness G. Amin,Abdelhak M. Zoubir,N
Stephan Philippi,Abdelhak M. Zoubir,P
Lisimachos P. Kondi,Abdelhak M. Zoubir,P
Daoud Ait-Kadi,Abdelhakim Artiba,P
Guillaume Hanrot,Abdelhakim Artiba,N
Sai Ho Kwok,Abdelhakim Artiba,N
Sorin Draghici,Abdelhakim Artiba,N
Nadjib Badache,Abdelmadjid Bouabdallah,P
