,source,target,prediction
0,Colin Studholme,A. Ardeshir Goshtasby,N
1,Colin Studholme,A. Ardeshir Goshtasby,N
2,Colin Studholme,A. Ardeshir Goshtasby,N
3,Lawrence H. Staib,A. Ardeshir Goshtasby,N
4,Lawrence H. Staib,A. Ardeshir Goshtasby,N
5,Lawrence H. Staib,A. Ardeshir Goshtasby,N
6,Ivan Marsic,A. Ardeshir Goshtasby,N
7,Ivan Marsic,A. Ardeshir Goshtasby,N
8,Ivan Marsic,A. Ardeshir Goshtasby,N
9,Ertem Tuncel,A. Ardeshir Goshtasby,N
10,Ertem Tuncel,A. Ardeshir Goshtasby,N
11,Ertem Tuncel,A. Ardeshir Goshtasby,N
12,Lee M. Garth,A. C. Cem Say,N
13,Lee M. Garth,A. C. Cem Say,N
14,Lee M. Garth,A. C. Cem Say,N
15,Ion Petre,A. C. Cem Say,N
16,Ion Petre,A. C. Cem Say,N
17,Ion Petre,A. C. Cem Say,N
18,Gagan L. Choudhury,A. C. Cem Say,N
19,Gagan L. Choudhury,A. C. Cem Say,N
20,Gagan L. Choudhury,A. C. Cem Say,N
21,Donia Scott,A. C. Cem Say,N
22,Donia Scott,A. C. Cem Say,N
23,Donia Scott,A. C. Cem Say,N
24,Wei Wang 0010,A. Chockalingam,N
25,Wei Wang 0010,A. Chockalingam,N
26,Wei Wang 0010,A. Chockalingam,N
27,Eldon Y. Li,A. Chockalingam,N
28,Eldon Y. Li,A. Chockalingam,N
29,Eldon Y. Li,A. Chockalingam,N
30,Kaushal Chari,A. Chockalingam,N
31,Kaushal Chari,A. Chockalingam,N
32,Kaushal Chari,A. Chockalingam,N
33,Paul L. Rosin,A. David Marshall,N
34,Paul L. Rosin,A. David Marshall,N
35,Paul L. Rosin,A. David Marshall,N
36,Zhili Sun,A. David Marshall,N
37,Zhili Sun,A. David Marshall,N
38,Zhili Sun,A. David Marshall,N
39,Mahbub Hassan,A. Donald Keedwell,N
40,Mahbub Hassan,A. Donald Keedwell,N
41,Mahbub Hassan,A. Donald Keedwell,N
42,Peter Mihók,A. Donald Keedwell,N
43,Peter Mihók,A. Donald Keedwell,N
44,Peter Mihók,A. Donald Keedwell,N
45,Klaus Obermayer,A. Donald Keedwell,N
46,Klaus Obermayer,A. Donald Keedwell,N
47,Klaus Obermayer,A. Donald Keedwell,N
48,Jia-Guang Sun,A. Donald Keedwell,N
49,Jia-Guang Sun,A. Donald Keedwell,N
50,Jia-Guang Sun,A. Donald Keedwell,N
51,James Y. L. Thong,A. Graham Peace,N
52,James Y. L. Thong,A. Graham Peace,N
53,James Y. L. Thong,A. Graham Peace,N
54,M. P. Bekakos,A. Graham Peace,N
55,M. P. Bekakos,A. Graham Peace,N
56,M. P. Bekakos,A. Graham Peace,N
57,Paul W. H. Chung,A. Graham Peace,N
58,Paul W. H. Chung,A. Graham Peace,N
59,Paul W. H. Chung,A. Graham Peace,N
60,H. Jeff Smith,A. Graham Peace,N
61,H. Jeff Smith,A. Graham Peace,N
62,H. Jeff Smith,A. Graham Peace,N
63,James R. McDonald,A. Graham Peace,N
64,James R. McDonald,A. Graham Peace,N
65,James R. McDonald,A. Graham Peace,N
66,Willem Visser,A. Graham Peace,N
67,Willem Visser,A. Graham Peace,N
68,Willem Visser,A. Graham Peace,N
69,Andrzej Ruszczynski,A. Hamid Aghvami,N
70,Andrzej Ruszczynski,A. Hamid Aghvami,N
71,Andrzej Ruszczynski,A. Hamid Aghvami,N
72,Roger T. Alexander,A. Hamid Aghvami,N
73,Roger T. Alexander,A. Hamid Aghvami,N
74,Roger T. Alexander,A. Hamid Aghvami,N
75,Rekha R. Thomas,A. Hamid Aghvami,N
76,Rekha R. Thomas,A. Hamid Aghvami,N
77,Rekha R. Thomas,A. Hamid Aghvami,N
78,Fotini-Niovi Pavlidou,A. J. Han Vinck,N
79,Fotini-Niovi Pavlidou,A. J. Han Vinck,N
80,Fotini-Niovi Pavlidou,A. J. Han Vinck,N
81,Haniph A. Latchman,A. J. Han Vinck,N
82,Haniph A. Latchman,A. J. Han Vinck,N
83,Haniph A. Latchman,A. J. Han Vinck,N
84,Victor K. Wei,A. J. Han Vinck,N
85,Victor K. Wei,A. J. Han Vinck,N
86,Victor K. Wei,A. J. Han Vinck,N
87,Wende Chen,A. J. Han Vinck,N
88,Wende Chen,A. J. Han Vinck,N
89,Wende Chen,A. J. Han Vinck,N
90,Steven Furnell,A. J. Han Vinck,N
91,Steven Furnell,A. J. Han Vinck,N
92,Steven Furnell,A. J. Han Vinck,N
93,Felix W. Wehrli,A. J. Han Vinck,N
94,Felix W. Wehrli,A. J. Han Vinck,N
95,Felix W. Wehrli,A. J. Han Vinck,N
96,Kun-Shan Chen,A. J. Han Vinck,N
97,Kun-Shan Chen,A. J. Han Vinck,N
98,Kun-Shan Chen,A. J. Han Vinck,N
